IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
SEMA3F,1.00E-06,0.5000001,0.5000001,790,,,,,,
EXOSC8,0.080101,0.4037501,0.5000001,790,0.077756,0.4072101,0.437443797,0.001542,0.4625901,0.5000001
HLA.DMA,0.100084,0.4027101,0.5000001,790,0.080649,0.4224901,0.445721787,0.006538,0.3607001,0.5000001
PSMA7,0.078006,0.4396101,0.5000001,790,0.134238,0.3955101,0.428855214,1.00E-06,0.5000001,0.5000001
HSPB11,0.225894,0.2939501,0.5000001,790,0.217997,0.3014301,0.38740599,0.008789,0.3817901,0.5000001
SLC25A40,0.238652,0.2015901,0.5000001,790,0.238764,0.2011701,0.35012738,0.0006,0.4880101,0.5000001
NPL,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMC3,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNRPE,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.A,0.171539,0.3496801,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.065453,0.00065811,0.027700448
AP2A2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD52,1.00E-06,0.5000001,0.5000001,790,,,,,,
CAPZA2,0.292973,0.2287101,0.5000001,790,0.155814,0.3391901,0.395579386,0.069913,0.0062863,0.171209229
SYK,1.00E-06,0.5000001,0.5000001,790,,,,,,
NOD1,0.136059,0.3111801,0.5000001,790,0.161418,0.2833101,0.382427336,1.00E-06,0.5000001,0.5000001
TPSAB1,0.053705,0.4521901,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.022182,0.1594701,0.5000001
NUP85,1.00E-06,0.5000001,0.5000001,790,,,,,,
GNG11,1.00E-06,0.5000001,0.5000001,790,,,,,,
IGFBP4,0.115946,0.3921601,0.5000001,790,0.078241,0.4278801,0.449225593,0.01239,0.2657101,0.5000001
SH2B3,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD207,0.134938,0.3659801,0.5000001,790,0.198252,0.3095901,0.38740599,1.00E-06,0.5000001,0.5000001
WAS,0.013803,0.4845401,0.5000001,790,,,,,,
FCGRT,1.00E-06,0.5000001,0.5000001,790,,,,,,
DSP,1.00E-06,0.5000001,0.5000001,790,,,,,,
LAPTM5,0.191444,0.3220301,0.5000001,790,0.212114,0.3073301,0.38740599,1.00E-06,0.5000001,0.5000001
CHEK1,0.019069,0.4784601,0.5000001,790,,,,,,
B2M,0.165909,0.3083301,0.5000001,790,0.150887,0.3228501,0.390963123,0.007859,0.3515401,0.5000001
CD3D,1.00E-06,0.5000001,0.5000001,790,,,,,,
TPM3,1.00E-06,0.5000001,0.5000001,790,,,,,,
IKBKB,0.227349,0.3279401,0.5000001,790,0.274235,0.2932901,0.384564792,1.00E-06,0.5000001,0.5000001
PSMA1,0.084781,0.4351501,0.5000001,790,0.109982,0.4187301,0.443643104,1.00E-06,0.5000001,0.5000001
CLTA,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.DPA1,0.057012,0.4458001,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.064618,0.0073153,0.186055332
SMAD3,1.00E-06,0.5000001,0.5000001,790,,,,,,
LAIR1,0.182893,0.2932601,0.5000001,790,0.217401,0.2642101,0.373816178,1.00E-06,0.5000001,0.5000001
PDAP1,0.048157,0.4160101,0.5000001,790,,,,,,
AP3D1,1.00E-06,0.5000001,0.5000001,790,,,,,,
RFTN1,1.00E-06,0.5000001,0.5000001,790,,,,,,
MTA1,0.289686,0.2051701,0.5000001,790,0.287449,0.2096401,0.35012738,0.008234,0.3736201,0.5000001
CD40LG,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.H,1.00E-06,0.5000001,0.5000001,790,,,,,,
CCL2,0.06487,0.4352901,0.5000001,790,0.122418,0.3798401,0.414876501,1.00E-06,0.5000001,0.5000001
KLC2,1.00E-06,0.5000001,0.5000001,790,,,,,,
DBNDD1,0.192955,0.3312801,0.5000001,790,0.215427,0.3132001,0.389662905,1.00E-06,0.5000001,0.5000001
NCF4,0.298621,0.1937501,0.5000001,790,0.280992,0.2093701,0.35012738,0.012239,0.2762201,0.5000001
LTB,0.193957,0.2488701,0.5000001,790,0.17819,0.2674601,0.374120925,0.013655,0.2473501,0.5000001
EPHB3,1.00E-06,0.5000001,0.5000001,790,,,,,,
HCLS1,0.214102,0.2949001,0.5000001,790,0.149222,0.3545701,0.405767853,0.026562,0.1115901,0.5000001
RHOQ,0.083381,0.4258101,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.027562,0.1084201,0.5000001
ARHGAP15,1.00E-06,0.5000001,0.5000001,790,,,,,,
ZFYVE9,1.00E-06,0.5000001,0.5000001,790,,,,,,
T.cells.CD8,1.00E-06,0.5000001,0.5000001,789,,,,,,
PSMD8,1.00E-06,0.5000001,0.5000001,790,,,,,,
MPP1,0.122572,0.3562601,0.5000001,790,0.094777,0.3861101,0.420632885,0.013825,0.2552801,0.5000001
PSME1,1.00E-06,0.5000001,0.5000001,790,,,,,,
MX1,0.226002,0.2843701,0.5000001,790,0.135971,0.3656101,0.412871893,0.016446,0.1349201,0.5000001
TBXAS1,0.29385,0.1865801,0.5000001,790,0.241066,0.2284401,0.362218378,0.022011,0.1313701,0.5000001
MYL6,1.00E-06,0.5000001,0.5000001,790,,,,,,
RAB8B,0.041393,0.4638501,0.5000001,790,,,,,,
MAPK3,1.00E-06,0.5000001,0.5000001,790,,,,,,
HFE,1.00E-06,0.5000001,0.5000001,790,,,,,,
TNFRSF1B,0.049331,0.4293701,0.5000001,790,,,,,,
SNAP23,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNRPD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMD9,0.242676,0.2304801,0.5000001,790,0.267857,0.2092401,0.35012738,1.00E-06,0.5000001,0.5000001
DUT,1.00E-06,0.5000001,0.5000001,790,,,,,,
SH2D1A,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD40,0.186646,0.3238201,0.5000001,790,0.126687,0.3799301,0.414876501,0.017936,0.1712101,0.5000001
GZMH,0.050064,0.4437501,0.5000001,790,0.052171,0.4423701,0.456163377,1.00E-06,0.4998201,0.5000001
IPO4,0.271965,0.2928201,0.5000001,790,0.298034,0.2736201,0.377118446,1.00E-06,0.5000001,0.5000001
SNRPB,0.199097,0.2617601,0.5000001,790,0.198115,0.2636601,0.373816178,0.002366,0.4509501,0.5000001
CYTIP,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.E,0.229291,0.2815901,0.5000001,790,0.201385,0.3069501,0.38740599,0.013979,0.2615701,0.5000001
WIPF1,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNRPA1,0.133821,0.3740701,0.5000001,790,0.157108,0.3556601,0.405767853,1.00E-06,0.5000001,0.5000001
PSMC5,1.00E-06,0.5000001,0.5000001,790,,,,,,
RHOA,0.298624,0.2485401,0.5000001,790,0.363488,0.2053601,0.35012738,1.00E-06,0.5000001,0.5000001
CTLA4,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.DMB,0.153724,0.3385401,0.5000001,790,0.116175,0.3753601,0.414363167,0.012676,0.2460001,0.5000001
CXCR4,1.00E-06,0.5000001,0.5000001,790,,,,,,
GIMAP4,1.00E-06,0.5000001,0.5000001,790,,,,,,
RAB33A,1.00E-06,0.5000001,0.5000001,790,,,,,,
CDH6,1.00E-06,0.5000001,0.5000001,790,,,,,,
HDC,1.00E-06,0.5000001,0.5000001,790,,,,,,
CTSF,1.00E-06,0.5000001,0.5000001,790,,,,,,
CYBA,0.243811,0.2413201,0.5000001,790,0.237831,0.2516601,0.373816178,0.013495,0.2907301,0.5000001
TGFB2,1.00E-06,0.5000001,0.5000001,790,,,,,,
SNX17,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMD5,1.00E-06,0.5000001,0.5000001,790,,,,,,
ENTPD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
OAS1,0.313948,0.2342701,0.5000001,790,0.288533,0.2500801,0.373816178,0.005518,0.3811701,0.5000001
XCL2,1.00E-06,0.5000001,0.5000001,790,,,,,,
UQCR10,1.00E-06,0.5000001,0.5000001,790,,,,,,
BRCA2,0.002715,0.4966201,0.5000001,790,,,,,,
KIF26A,1.00E-06,0.5000001,0.5000001,790,,,,,,
TCEB1,0.35329,0.2180101,0.5000001,790,0.365039,0.2206101,0.356590823,0.00385,0.4000901,0.5000001
CENPW,0.241668,0.1984801,0.5000001,790,0.254628,0.1865601,0.337577428,1.00E-06,0.5000001,0.5000001
HLA.DOA,0.033251,0.4622101,0.5000001,790,,,,,,
UBE2J1,0.03776,0.4650301,0.5000001,790,,,,,,
MICB,1.00E-06,0.5000001,0.5000001,790,,,,,,
FAM167A,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD244,1.00E-06,0.5000001,0.5000001,790,,,,,,
POLE2,1.00E-06,0.5000001,0.5000001,790,,,,,,
MRTO4,1.00E-06,0.5000001,0.5000001,790,,,,,,
DAPK1,0.082613,0.3942001,0.5000001,790,0.06332,0.4173501,0.443195175,0.019838,0.2384501,0.5000001
SPTBN2,0.266105,0.2355201,0.5000001,790,0.245995,0.2534001,0.373816178,0.017349,0.2538001,0.5000001
DCTN2,1.00E-06,0.5000001,0.5000001,790,,,,,,
AP1M2,1.00E-06,0.5000001,0.5000001,790,,,,,,
PFN1,0.190648,0.2590701,0.5000001,790,0.23121,0.2223301,0.357426515,1.00E-06,0.5000001,0.5000001
WSB2,0.232305,0.2534901,0.5000001,790,0.189109,0.2931501,0.384564792,0.023869,0.1457301,0.5000001
HSD11B1,1.00E-06,0.5000001,0.5000001,790,,,,,,
JCHAIN,0.307623,0.1839001,0.5000001,790,0.405885,0.1266701,0.285711681,1.00E-06,0.5000001,0.5000001
AP1S2,1.00E-06,0.5000001,0.5000001,790,,,,,,
C1orf54,1.00E-06,0.5000001,0.5000001,790,,,,,,
MR1,0.247547,0.2263701,0.5000001,790,0.124913,0.3432401,0.396309642,0.090377,0.0011888,0.042339569
MYO1F,0.209084,0.2746101,0.5000001,790,0.150155,0.3352401,0.393949661,0.025871,0.0934231,0.5000001
NCKAP1L,0.171171,0.2772001,0.5000001,790,0.195045,0.2552201,0.373816178,1.00E-06,0.5000001,0.5000001
PLCG2,0.12166,0.3403401,0.5000001,790,0.120921,0.3427601,0.396309642,0.004107,0.4318401,0.5000001
SH3GL2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CCL5,1.00E-06,0.5000001,0.5000001,790,,,,,,
LYAR,1.00E-06,0.5000001,0.5000001,790,,,,,,
STK17A,0.059778,0.4439001,0.5000001,790,0.089803,0.4157001,0.443195175,1.00E-06,0.5000001,0.5000001
PSMC1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD1C,1.00E-06,0.5000001,0.5000001,790,,,,,,
KIF3C,1.00E-06,0.5000001,0.5000001,790,,,,,,
MS4A1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD209,0.175441,0.2443801,0.5000001,790,0.15579,0.2694801,0.375811103,0.025854,0.1379301,0.5000001
EVI2B,1.00E-06,0.5000001,0.5000001,790,,,,,,
LRMP,1.00E-06,0.5000001,0.5000001,790,,,,,,
TNFSF13B,0.248333,0.1987701,0.5000001,790,0.27387,0.1780101,0.333378856,1.00E-06,0.5000001,0.5000001
OSBPL3,1.00E-06,0.5000001,0.5000001,790,,,,,,
CSF3R,0.18219,0.3286401,0.5000001,790,0.207602,0.3076601,0.38740599,1.00E-06,0.5000001,0.5000001
CD274,0.267305,0.2623101,0.5000001,790,0.268005,0.2642801,0.373816178,0.00252,0.4501701,0.5000001
TNFRSF12A,0.07685,0.3970501,0.5000001,790,0.09569,0.3746401,0.414363167,1.00E-06,0.5000001,0.5000001
CENPJ,1.00E-06,0.5000001,0.5000001,790,,,,,,
GPNMB,0.14126,0.3295401,0.5000001,790,0.181365,0.2885201,0.384564792,1.00E-06,0.5000001,0.5000001
KLRD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
TLR2,0.374484,0.1960101,0.5000001,790,0.369082,0.1994801,0.349845781,0.003547,0.4431101,0.5000001
PDCD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
OSBPL1A,0.285466,0.2854201,0.5000001,790,0.27238,0.2955101,0.384728625,0.004362,0.4160401,0.5000001
DCBLD2,1.00E-06,0.5000001,0.5000001,790,,,,,,
GZMB,0.034113,0.4578201,0.5000001,790,,,,,,
CD36,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD247,1.00E-06,0.5000001,0.5000001,790,,,,,,
RAB34,1.00E-06,0.5000001,0.5000001,790,,,,,,
PDIA3,1.00E-06,0.5000001,0.5000001,790,,,,,,
IL21R,0.181513,0.3041601,0.5000001,790,0.187921,0.2980801,0.384728625,1.00E-06,0.5000001,0.5000001
CD33,1.00E-06,0.5000001,0.5000001,790,,,,,,
SEC24B,0.022483,0.4712401,0.5000001,790,,,,,,
SMC2,0.022312,0.4696301,0.5000001,790,,,,,,
DLEU1,1.00E-06,0.5000001,0.5000001,790,,,,,,
Macrophage.Regulation,1.00E-06,0.4995601,0.5000001,777,,,,,,
TUBA4A,1.00E-06,0.5000001,0.5000001,790,,,,,,
LILRB2,0.296852,0.2148001,0.5000001,790,0.284972,0.2242801,0.359294523,0.007217,0.3683401,0.5000001
CTSS,0.210827,0.2797001,0.5000001,790,0.192256,0.2975101,0.384728625,0.007384,0.3388101,0.5000001
JAK1,1.00E-06,0.5000001,0.5000001,790,,,,,,
IFNGR2,1.00E-06,0.5000001,0.5000001,790,,,,,,
LCP1,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.DOB,0.251651,0.2195301,0.5000001,790,0.200488,0.2637501,0.373816178,0.039504,0.0684661,0.5000001
POLR3K,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMD6,1.00E-06,0.5000001,0.5000001,790,,,,,,
CCL13,0.168707,0.3239801,0.5000001,790,0.170697,0.3208801,0.390963123,1.00E-06,0.5000001,0.5000001
DYNC1LI1,1.00E-06,0.5000001,0.5000001,790,,,,,,
EVI2A,1.00E-06,0.5000001,0.5000001,790,,,,,,
WDHD1,0.064901,0.4177601,0.5000001,790,0.100974,0.3767401,0.414363167,1.00E-06,0.5000001,0.5000001
GLRX3,0.109071,0.3968101,0.5000001,790,0.07424,0.4305801,0.451037526,0.015321,0.2482201,0.5000001
LYZ,0.027476,0.4682901,0.5000001,790,,,,,,
CD8A,1.00E-06,0.5000001,0.5000001,790,,,,,,
PAK2,0.065152,0.4177701,0.5000001,790,0.068813,0.4140801,0.442769252,1.00E-06,0.5000001,0.5000001
ADORA2A,1.00E-06,0.4994701,0.5000001,790,,,,,,
Wound.Healing,1.00E-06,0.5000001,0.5000001,777,,,,,,
CEP78,1.00E-06,0.5000001,0.5000001,790,,,,,,
VDAC1,0.31953,0.2260101,0.5000001,790,0.329441,0.2255401,0.359294523,0.002499,0.4413401,0.5000001
PLEK,0.100106,0.3717401,0.5000001,790,0.128296,0.3413901,0.396309642,1.00E-06,0.5000001,0.5000001
AZGP1,0.064158,0.4374901,0.5000001,790,0.017146,0.4836101,0.492113135,0.020786,0.1890501,0.5000001
OAS2,0.220876,0.2787001,0.5000001,790,0.210428,0.2883901,0.384564792,0.005324,0.3939501,0.5000001
KIF18A,0.105897,0.4039601,0.5000001,790,1.00E-06,0.5000001,0.5000001,0.026842,0.0843721,0.5000001
IL7R,1.00E-06,0.5000001,0.5000001,790,,,,,,
MMP1,0.224718,0.3133201,0.5000001,790,0.432288,0.1802401,0.333804665,1.00E-06,0.5000001,0.5000001
IFI30,0.113072,0.3977801,0.5000001,790,0.146341,0.3699701,0.414363167,1.00E-06,0.5000001,0.5000001
IFI16,0.030163,0.4770401,0.5000001,790,,,,,,
LST1,0.232964,0.2578501,0.5000001,790,0.17984,0.3086101,0.38740599,0.021765,0.1314501,0.5000001
EDNRB,0.158878,0.3150201,0.5000001,790,0.197146,0.2814501,0.381027475,1.00E-06,0.5000001,0.5000001
SAMD9,0.077609,0.3917301,0.5000001,790,0.066854,0.4061401,0.437308991,0.010864,0.3235001,0.5000001
TNFAIP3,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD6,1.00E-06,0.5000001,0.5000001,790,,,,,,
RAB32,1.00E-06,0.5000001,0.5000001,790,,,,,,
MTHFD1,0.259987,0.2658401,0.5000001,790,0.231528,0.2892201,0.384564792,0.013201,0.2793601,0.5000001
ARRB2,0.196431,0.2494301,0.5000001,790,0.182641,0.2648201,0.373816178,0.016625,0.2502101,0.5000001
TIGIT,1.00E-06,0.5000001,0.5000001,790,,,,,,
FMNL1,0.070107,0.4252601,0.5000001,790,0.031206,0.4668801,0.476135432,0.018847,0.1975901,0.5000001
LRRC40,1.00E-06,0.5000001,0.5000001,790,,,,,,
TEX30,1.00E-06,0.5000001,0.5000001,790,,,,,,
LCK,1.00E-06,0.5000001,0.5000001,790,,,,,,
KLC1,1.00E-06,0.5000001,0.5000001,790,,,,,,
AP2A1,1.00E-06,0.5000001,0.5000001,790,,,,,,
ITGA3,1.00E-06,0.5000001,0.5000001,790,,,,,,
MAPRE1,0.197859,0.2412601,0.5000001,790,0.234514,0.2091401,0.35012738,1.00E-06,0.5000001,0.5000001
CECR1,1.00E-06,0.5000001,0.5000001,790,,,,,,
ISG15,1.00E-06,0.5000001,0.5000001,790,,,,,,
AP2S1,0.187257,0.2859601,0.5000001,790,0.230863,0.2490101,0.373816178,1.00E-06,0.5000001,0.5000001
FAM216A,0.111831,0.3912201,0.5000001,790,0.051289,0.4483601,0.460289859,0.018612,0.1802101,0.5000001
RAB27A,0.066961,0.4319501,0.5000001,790,0.064855,0.4336101,0.451149385,0.004344,0.4668601,0.5000001
KLRK1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CXCL10,1.00E-06,0.5000001,0.5000001,790,,,,,,
ICOSLG,0.140469,0.3423001,0.5000001,790,0.123409,0.3615301,0.410265775,0.01036,0.3090301,0.5000001
PSMB7,0.168272,0.3209701,0.5000001,790,0.236791,0.2621401,0.373816178,1.00E-06,0.5000001,0.5000001
FYB,1.00E-06,0.5000001,0.5000001,790,,,,,,
MRPS16,0.272535,0.2305201,0.5000001,790,0.331374,0.1889201,0.337722032,1.00E-06,0.5000001,0.5000001
PYCARD,0.266863,0.2160001,0.5000001,790,0.261728,0.2210401,0.356590823,0.008379,0.3787501,0.5000001
DCTN3,0.039791,0.4406501,0.5000001,790,,,,,,
PSMB9,1.00E-06,0.5000001,0.5000001,790,,,,,,
CASP1,0.009938,0.4903601,0.5000001,790,,,,,,
FCER1G,0.158571,0.3409401,0.5000001,790,0.18973,0.3145301,0.389662905,1.00E-06,0.5000001,0.5000001
UMPS,0.198788,0.3159701,0.5000001,790,0.205803,0.3131001,0.389662905,0.000467,0.4897301,0.5000001
CD8B,1.00E-06,0.5000001,0.5000001,790,,,,,,
BTK,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.DPB1,0.114168,0.3823801,0.5000001,790,1.00E-06,0.4997801,0.5000001,0.050202,0.0185601,0.266348921
HSPG2,1.00E-06,0.5000001,0.5000001,790,,,,,,
CTSW,1.00E-06,0.5000001,0.5000001,790,,,,,,
TNFRSF9,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMB2,0.363857,0.2021401,0.5000001,790,0.315899,0.2341901,0.36508423,0.025285,0.1721901,0.5000001
PIK3CG,0.124009,0.3220001,0.5000001,790,0.165909,0.2744901,0.377118446,1.00E-06,0.5000001,0.5000001
NKG7,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD27,1.00E-06,0.5000001,0.5000001,790,,,,,,
LAMB1,1.00E-06,0.5000001,0.5000001,790,,,,,,
DVL3,0.079924,0.4193101,0.5000001,790,0.130015,0.3725201,0.414363167,1.00E-06,0.5000001,0.5000001
SKA1,1.00E-06,0.5000001,0.5000001,790,,,,,,
MCM7,1.00E-06,0.5000001,0.5000001,790,,,,,,
DCTN6,0.19043,0.3057501,0.5000001,790,0.205093,0.2934201,0.384564792,1.00E-06,0.5000001,0.5000001
TNFSF9,0.258491,0.2940301,0.5000001,790,0.326764,0.2464501,0.373816178,1.00E-06,0.5000001,0.5000001
CTSH,1.00E-06,0.5000001,0.5000001,790,,,,,,
KLRB1,1.00E-06,0.5000001,0.5000001,790,,,,,,
RND3,1.00E-06,0.5000001,0.5000001,790,,,,,,
DYNLT1,0.17319,0.2704501,0.5000001,790,0.209675,0.2338601,0.36508423,1.00E-06,0.5000001,0.5000001
MSN,0.37873,0.2094401,0.5000001,790,0.29226,0.2728401,0.377118446,0.049575,0.0434491,0.428019857
CD48,1.00E-06,0.5000001,0.5000001,790,,,,,,
JAK2,1.00E-06,0.5000001,0.5000001,790,,,,,,
HYLS1,1.00E-06,0.5000001,0.5000001,790,,,,,,
ZWILCH,0.103807,0.4091801,0.5000001,790,0.015564,0.4863501,0.493816001,0.022564,0.1374401,0.5000001
CKLF,0.151356,0.3604601,0.5000001,790,0.178467,0.3378601,0.395023299,1.00E-06,0.5000001,0.5000001
IL12A,1.00E-06,0.5000001,0.5000001,790,,,,,,
PNOC,1.00E-06,0.5000001,0.5000001,790,,,,,,
CTSL,0.110207,0.3918301,0.5000001,790,0.183097,0.3260901,0.39192304,1.00E-06,0.5000001,0.5000001
APOE,0.323765,0.1793601,0.5000001,790,0.321975,0.1858601,0.337577428,0.00882,0.3303301,0.5000001
IFI27,0.12841,0.3722501,0.5000001,790,0.109021,0.3896101,0.423449475,0.005139,0.3854001,0.5000001
IGFBP3,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD276,0.134131,0.3733101,0.5000001,790,0.108931,0.3980601,0.430611744,0.016521,0.2650401,0.5000001
HAUS1,0.046337,0.4470201,0.5000001,790,,,,,,
LY86,1.00E-06,0.5000001,0.5000001,790,,,,,,
CENPE,1.00E-06,0.5000001,0.5000001,790,,,,,,
VAMP3,0.235312,0.2483601,0.5000001,790,0.220531,0.2606801,0.373816178,0.007146,0.3634701,0.5000001
C10orf54,0.237445,0.2143401,0.5000001,790,0.187204,0.2673201,0.374120925,0.040766,0.0409521,0.421351607
PSMA4,1.00E-06,0.5000001,0.5000001,790,,,,,,
IL10,0.197967,0.2795701,0.5000001,790,0.290038,0.2083501,0.35012738,1.00E-06,0.5000001,0.5000001
TAGLN,1.00E-06,0.5000001,0.5000001,790,,,,,,
LYN,0.243138,0.2623201,0.5000001,790,0.280595,0.2334001,0.36508423,1.00E-06,0.5000001,0.5000001
PLAT,1.00E-06,0.5000001,0.5000001,790,,,,,,
TGFB1,0.051472,0.4560101,0.5000001,790,0.077138,0.4357901,0.452010327,1.00E-06,0.5000001,0.5000001
NCEH1,0.093321,0.4259601,0.5000001,790,0.085719,0.4328001,0.451149385,0.002599,0.4502101,0.5000001
MKKS,0.234035,0.2462301,0.5000001,790,0.233739,0.2538001,0.373816178,0.006991,0.3457001,0.5000001
CD79B,0.144769,0.2998101,0.5000001,790,0.116229,0.3346401,0.393949661,0.025331,0.1329601,0.5000001
ID3,0.331218,0.2229401,0.5000001,790,0.311615,0.2391901,0.366518899,0.00884,0.3323201,0.5000001
AMPD3,0.251448,0.2586301,0.5000001,790,0.220444,0.2809901,0.381027475,0.006003,0.3546501,0.5000001
CD1E,1.00E-06,0.5000001,0.5000001,790,,,,,,
IL10RA,1.00E-06,0.5000001,0.5000001,790,,,,,,
CCL19,0.217418,0.1938301,0.5000001,790,0.225751,0.1870601,0.337577428,1.00E-06,0.5000001,0.5000001
IL18,0.048443,0.4617801,0.5000001,790,,,,,,
JUP,1.00E-06,0.5000001,0.5000001,790,,,,,,
NOTCH2,0.142454,0.3174301,0.5000001,790,0.137779,0.3224001,0.390963123,0.004459,0.4257201,0.5000001
GNLY,1.00E-06,0.5000001,0.5000001,790,,,,,,
IFI6,0.252918,0.2468501,0.5000001,790,0.172017,0.3167601,0.390963123,0.019267,0.1176801,0.5000001
SH3BP5L,0.225065,0.2811401,0.5000001,790,0.132743,0.3694601,0.414363167,0.037296,0.0426711,0.428019857
ICOS,1.00E-06,0.5000001,0.5000001,790,,,,,,
LHFPL2,1.00E-06,0.5000001,0.5000001,790,,,,,,
WNT2B,1.00E-06,0.5000001,0.5000001,790,,,,,,
COL16A1,0.079068,0.4379901,0.5000001,790,0.086497,0.4331201,0.451149385,1.00E-06,0.5000001,0.5000001
FNBP1,1.00E-06,0.5000001,0.5000001,790,,,,,,
CTSC,1.00E-06,0.5000001,0.5000001,790,,,,,,
MAP2K1,0.16466,0.3202501,0.5000001,790,0.185061,0.3039201,0.38740599,1.00E-06,0.5000001,0.5000001
CELF2,1.00E-06,0.5000001,0.5000001,790,,,,,,
TLR4,0.132629,0.2809901,0.5000001,790,0.147485,0.2625801,0.373816178,1.00E-06,0.5000001,0.5000001
LOXL2,0.295506,0.1995501,0.5000001,790,0.36202,0.1575001,0.309057579,1.00E-06,0.5000001,0.5000001
CD70,0.180793,0.3619401,0.5000001,790,0.186262,0.3552001,0.405767853,1.00E-06,0.5000001,0.5000001
CD3E,1.00E-06,0.5000001,0.5000001,790,,,,,,
DCK,1.00E-06,0.5000001,0.5000001,790,,,,,,
CENPU,1.00E-06,0.5000001,0.5000001,790,,,,,,
HLA.DRA,1.00E-06,0.5000001,0.5000001,790,,,,,,
RUVBL1,1.00E-06,0.5000001,0.5000001,790,,,,,,